Year,Q1_Awareness,Q2_Influence,Q3_retention_OE,Q4_Program,Q5_Catalog
2022,1,1,Being a classroom so early on in my education helped me stay motivated to stay in school in general.,1,1
2022,1,1,I absolutely loved getting to see the classroom in a different perspective; more of a teacher than a student.,1,1
2022,1,0,"Honestly, it was too busy with too many observing when I went and there was no way to spend time with the kids.",1,1
2023,1,1,I don't think it made me stay here but it was a good experience and did 0t make me want to leave,1,1
2023,1,1,It showed me in depth of what would being a teacher would like. It also showed me the type of teacher I want to be.,1,1
2023,1,1,Other campuses do 0t offer a lab school and I thought it would be great to be able to get classroom experience early on in my education and having it on campus is a large bonus.,1,1
2023,1,0,As a first-year student last year I felt as though a lot of the observations were targeted towards elementary and early childhood education majors. Instead of finding alternatives for secondary education majors. Hence why the Leet center and Horace mann had 0 effect on my decision.,0,1
2023,1,0,It felt disconnected from my goal. It made it harder to stay in my career choice. I ultimately decided to stay in my career but it made me disconnected from teaching.,0,1
2023,1,1,"It allows you to get hands on experience while also taking it for a class. This way if you do 0t like teaching or dealing with a certain age group, you can learn and reevaluate.",1,1
2023,1,1,"I was undecided when I got here, so having that hands on experience or even just getting to sit in and watch the magic of teaching influenced me to declare an education major.",0,1
2023,1,1,I liked observing there.,1,1
2023,1,1,Always willing to learn. Different activities happening with each teacher.,1,1
2023,1,1,Watching hands-on practices and approaches formed from ideas I had and have been learning in class helps me realize the importance of teaching.,0,1
2023,1,1,It helped give me a better understanding of what grade level I wanted to teach while also giving me experience with younger kids.,0,1
2023,1,1,I am so happy that I am able to get hands on experience unlike my friends at other schools.,1,1
2023,1,1,"Seeing the act of fun amazing teaching in persona and able to ask questions to the teacher, as well as seeing teaching strategies learned in class used in person was very helpful.",1,1
2023,1,1,My lab school experience has influenced my decision to continue my education at 0rthwest because I see how the teachers in Horrace Mann and the Leet Center interact with their students and the college students that are observing. It makes me feel good to k0w that I am surrounding by a big community of educators who support each other and want the best for one a0ther.,1,1
2023,1,1,Seeing the kids excitement to learn.,0,1
2023,1,1,"It was beneficial to be able to watch real classroom teaching happen and be able to ask the teacher questions about what they were doing. It was also fun and a great learning experience to interact with the students and see what it will really be like teaching,",0,1
2023,1,1,The classrooms were beautiful and the staff and students were very kind and friendly,1,1
2023,1,1,It allows you to see if a regular classroom experience is what you want to do before you spend 4 years getting the degree only to find out it isn't a fit for you.,1,1
2023,1,1,I think it is exciting to have a running school quite literally under your feet. Being in the elementary classroom environment has been so encouraging and I love the fun energy and I'm excited to get to lead in my own classroom some day!,1,1
2023,1,0,It is fun to do and helps us with firsthand experiences.,1,1
2023,1,1,It is great experience! Everyone I k0w loves it.,0,1
2023,1,1,"It allowed me to look in on multiple different grades, while I still was able to move around my busy schedule. I was also able to see the different activities that students would do throughout the day.",1,1
2023,1,1,"I really like 0rthwest and I really am grateful to have access to a real in-class room opportunity so early one. However, I feel as those this is truly limited because I feel as though a lot of our education classes are geared towards elementary ed majors.",0,1
2023,1,0,"I observed in the infant/toddler rooms and really enjoyed my time there. It helped me decide that I do want to work with younger children. The lead teacher, Rachel, was always very welcoming and inclusive towards me. She explained what she was doing and why, and how it helps the kids.",1,1
2023,1,1,I have had the chance to be hands on with the children. Being able to choose different age levels has been helpful as to help me decide what age group I am most comfortable with for future career decisions.,1,1
2023,1,1,Getting to be in a classroom got me more excited to be able to run a classroom one day. Even though in my career I'll be in a high school classroom it was still interesting to be able to observe.,0,1
